file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp16,fp16,fp16,not_converged,10,39,325.840641,0.000357335097992,0.000237446094952,1.0002924728,9085572
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp16,fp16,fp16,not_converged,10,26,152.302144667,0.00352792471784,0.000140951437794,1.00000024106,5542692
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp16,fp16,fp16,not_converged,10,186,825.394611667,0.000304723801908,0.000201079532275,1.42050664254,8692080
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp16,fp16,fp16,not_converged,10,102,317.835754,0.00141402678554,0.000209184719496,1.00000525085,5561540
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp16,fp16,fp16,not_converged,10,237,525.092612333,0.000342689586596,0.000121237955009,1.00053258922,4512752
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp16,fp16,fp16,not_converged,10,163,715.688528,0.00142519010411,0.000207957106839,1.0000013991,8609732
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp16,fp16,fp16,not_converged,10,149,686.248654333,0.000321930027694,0.000229496219498,1.00367898194,8739312
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp16,fp16,fp16,not_converged,10,98,277.608480333,0.00137395196643,0.000150479506939,1.00002706255,5018976
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp16,fp16,fp16,not_converged,10,273,956.427344667,0.000337166763334,0.000282024572223,1.00096185619,7356320
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp16,fp16,fp16,not_converged,10,300,1065.46063433,0.00135364261042,0.000128683363216,1.00003772779,7541892
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp16,fp16,fp16,not_converged,10,42,142.737495667,0.000313199847457,0.000139361280615,1.00239078379,4428192
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp16,fp16,fp16,not_converged,10,278,958.638186667,0.00254572716551,0.000136076693732,1.00000196352,7205232
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp16,fp16,fp16,not_converged,10,124,366.380725,0.000368589837221,0.000167251645405,1.00028939825,5552112
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp16,fp16,fp16,fp16,not_converged,10,104,525.798157667,0.00224383959996,0.000213177092601,1.00002635834,8574560
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp16,fp16,fp16,fp16,not_converged,10,264,734.645762667,0.000314569163049,0.000158647241464,1.00663747003,5799840
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp16,fp16,fp16,fp16,not_converged,10,66,219.173989,0.00208444927068,0.000184076806954,1.00000325711,5118020
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp16,fp16,fp16,fp16,not_converged,10,236,626.342135667,0.000331813591307,0.00017147764752,1.00191816279,5523876
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp16,fp16,fp16,fp16,not_converged,10,300,1067.49251333,0.000994131065849,0.000176444768976,1.00004612996,7541892
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp16,fp16,fp16,fp16,not_converged,10,59,261.878789333,0.000336101792879,0.000185307590804,1.02993293238,6311520
train_019_n1231_k3.26e+05.bin,train,1231,326255.828043,fp16,fp16,fp16,fp16,not_converged,10,300,885.340998333,0.00135930588194,0.000123928555342,1.00000125177,6171632
train_020_n1047_k4.18e+01.bin,train,1047,41.8212485998,fp16,fp16,fp16,fp16,not_converged,10,175,394.703926667,0.000311225408119,0.000155068960924,1.00612504901,4478832
train_021_n1222_k3.40e+04.bin,train,1222,33986.2983302,fp16,fp16,fp16,fp16,not_converged,10,300,869.732592667,0.0025075231735,0.000107836264071,1.00000630063,6082532
train_022_n1180_k1.64e+02.bin,train,1180,163.915320188,fp16,fp16,fp16,fp16,not_converged,10,236,646.657598667,0.00032734305708,0.000184603736767,1.00190579682,5675300
train_023_n1355_k3.33e+04.bin,train,1355,33321.3296494,fp16,fp16,fp16,fp16,not_converged,10,84,384.933576667,0.00285227407594,0.000106387947484,1.00000658316,7465200
train_024_n1362_k1.30e+01.bin,train,1362,12.9590528983,fp16,fp16,fp16,fp16,not_converged,10,205,768.284681,0.000309131195157,0.000280589691135,1.02561748,7541892
train_025_n1487_k6.94e+05.bin,train,1487,694282.361531,fp16,fp16,fp16,fp16,not_converged,10,113,574.287077,0.00310215035335,0.000150626950708,1.00000029596,8977392
train_026_n1010_k2.42e+02.bin,train,1010,242.281963241,fp16,fp16,fp16,fp16,not_converged,10,253,509.825969333,0.000333923502503,0.000254968393743,1.00125236538,4171140
train_027_n1427_k5.10e+04.bin,train,1427,50967.9683153,fp16,fp16,fp16,fp16,not_converged,10,234,931.489014,0.00203568895455,0.00015632315919,1.00001056732,8272752
train_028_n1296_k5.30e+00.bin,train,1296,5.29693048152,fp16,fp16,fp16,fp16,not_converged,10,141,510.490716,0.000334927035299,0.000202802373333,1.07327356543,6834372
train_029_n1484_k2.59e+04.bin,train,1484,25901.2051887,fp16,fp16,fp16,fp16,not_converged,10,300,1260.39185967,0.00260097200349,0.000196663384746,1.00001171509,8941476
train_030_n1039_k3.84e+01.bin,train,1039,38.3622147846,fp16,fp16,fp16,fp16,not_converged,10,168,380.711142667,0.000327183455766,0.00013285015397,1.00572934488,4411376
train_031_n1209_k3.30e+03.bin,train,1209,3301.6017695,fp16,fp16,fp16,fp16,not_converged,10,296,835.338461667,0.000567578001562,0.000130730111392,1.00007018739,5954976
train_032_n1288_k7.83e+00.bin,train,1288,7.83398475063,fp16,fp16,fp16,fp16,not_converged,10,63,290.666935667,0.000325345040718,0.000169207336142,1.04532351418,6750980
train_033_n1434_k7.00e+03.bin,train,1434,6997.04938809,fp16,fp16,fp16,fp16,not_converged,10,300,1176.66296267,0.00121849112645,0.000207753142192,1.00004170684,8353476
train_034_n1117_k9.39e+00.bin,train,1117,9.38756137919,fp16,fp16,fp16,fp16,not_converged,10,192,485.722799667,0.000304951995235,0.000187005542163,1.01974573734,5090912
train_035_n1413_k1.58e+03.bin,train,1413,1580.00543338,fp16,fp16,fp16,fp16,not_converged,10,52,321.018330667,0.000431433922645,0.000129257655137,1.0002223453,8112480
train_036_n1202_k6.41e+01.bin,train,1202,64.0767013639,fp16,fp16,fp16,fp16,not_converged,10,48,215.594632,0.000329184908616,0.000179457196779,1.00422554006,5886852
train_037_n1488_k2.06e+05.bin,train,1488,206019.811301,fp16,fp16,fp16,fp16,not_converged,10,124,607.428865667,0.00312797579217,0.000321383498698,1.00000119101,8989380
train_038_n1185_k7.12e+00.bin,train,1185,7.1223015396,fp16,fp16,fp16,fp16,not_converged,10,143,424.304631667,0.000333778522454,0.000251927548212,1.04848634532,5723040
