file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp16,fp32,fp64,ok,2,60,235.002852667,7.86201132318e-08,2.62348514399e-08,1.0002924728,31492660
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp16,fp32,fp64,ok,5,150,208.690033667,4.70771667657e-07,9.3081818857e-09,1.00000024106,19159240
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp16,fp32,fp64,ok,1,30,184.251482,9.98771855351e-07,8.52870002018e-07,1.42050664254,30122104
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp16,fp32,fp64,ok,3,90,150.222204667,1.20596855346e-07,1.16872857774e-08,1.00000525085,19224804
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp16,fp32,fp64,ok,2,37,82.9354813333,5.19528931815e-08,2.09644209531e-08,1.00053258922,15577680
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp16,fp32,fp64,ok,4,120,287.796896667,1.6696321946e-07,1.6682872144e-08,1.0000013991,29835300
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp16,fp32,fp64,ok,2,60,225.025062,9.23226740432e-08,3.49747851079e-08,1.00367898194,30286608
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp16,fp32,fp64,ok,2,60,114.520892667,2.23522977401e-07,3.07173651775e-08,1.00002706255,17337748
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp16,fp32,fp64,ok,1,30,148.753371,6.46650285987e-07,6.11275459657e-07,1.00096185619,25470780
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp16,fp32,fp64,ok,2,60,186.629605333,5.17329963968e-07,2.26570372999e-08,1.00003772779,26116848
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp16,fp32,fp64,ok,2,60,98.299368,5.26593513777e-08,2.29804546271e-08,1.00239078379,15283740
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp16,fp32,fp64,ok,3,90,212.414355,9.7460557415e-07,2.08039112627e-08,1.00000196352,24944800
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp16,fp32,fp64,ok,2,30,101.228524667,5.86569654637e-08,2.88403787577e-08,1.00028939825,19192008
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp16,fp16,fp32,fp64,ok,3,90,258.079539667,8.9861986485e-08,2.15161505739e-08,1.00002635834,29712804
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp16,fp16,fp32,fp64,ok,1,30,109.446569667,7.03096875944e-07,2.714455798e-07,1.00663747003,20053804
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp16,fp16,fp32,fp64,ok,3,90,136.458685,8.60130545779e-08,1.99740176824e-08,1.00000325711,17682180
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp16,fp16,fp32,fp64,ok,1,30,102.385255667,9.20647557301e-07,4.34184879724e-07,1.00191816279,19093788
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp16,fp16,fp32,fp64,ok,2,60,187.460716333,8.26705197028e-08,1.24784330846e-08,1.00004612996,26116848
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp16,fp16,fp32,fp64,ok,1,30,123.120934333,5.86948331369e-07,3.70134494532e-07,1.02993293238,21834180
