file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp16,fp32,fp64,not_converged,10,72,248.307538,3.20671958292e-08,1.95854753039e-08,1.0002924728,31492660
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp16,fp32,fp64,not_converged,10,216,254.259758667,3.06757354185e-08,9.30818180734e-09,1.00000024106,19159240
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp16,fp32,fp64,not_converged,10,71,237.990514,3.21551829731e-08,1.72675502826e-08,1.42050664254,30122104
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp16,fp32,fp64,not_converged,10,128,179.169290333,3.08079429049e-08,1.1687280791e-08,1.00000525085,19224804
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp16,fp32,fp64,not_converged,10,45,90.2535396667,3.12491613577e-08,1.8636662162e-08,1.00053258922,15577680
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp16,fp32,fp64,not_converged,10,127,298.824691333,3.22264044223e-08,1.66828744468e-08,1.0000013991,29835300
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp16,fp32,fp64,not_converged,10,78,247.220675667,3.26368433561e-08,1.49836075594e-08,1.00367898194,30286608
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp16,fp32,fp64,not_converged,10,70,119.790145667,3.33146306226e-08,1.77267294864e-08,1.00002706255,17337748
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp16,fp32,fp64,not_converged,10,70,196.798405667,3.12391034291e-08,1.42285968639e-08,1.00096185619,25470780
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp16,fp32,fp64,not_converged,10,101,228.305603667,3.31085820815e-08,1.62809668143e-08,1.00003772779,26116848
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp16,fp32,fp64,not_converged,10,70,104.446708667,3.17729991675e-08,1.3906617041e-08,1.00239078379,15283740
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp16,fp32,fp64,not_converged,10,130,246.356692667,3.07471707987e-08,1.3502628437e-08,1.00000196352,24944800
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp16,fp32,fp64,not_converged,10,42,114.023583667,3.23916020169e-08,2.24561088498e-08,1.00028939825,19192008
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp16,fp16,fp32,fp64,not_converged,10,99,268.491328333,3.37026323907e-08,1.33939442634e-08,1.00002635834,29712804
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp16,fp16,fp32,fp64,not_converged,10,70,145.607348333,3.16829269787e-08,1.46817188986e-08,1.00663747003,20053804
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp16,fp16,fp32,fp64,not_converged,10,97,141.518083,3.23473408057e-08,1.39534592117e-08,1.00000325711,17682180
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp16,fp16,fp32,fp64,not_converged,10,99,159.581511,3.20309887749e-08,1.41275613344e-08,1.00191816279,19093788
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp16,fp16,fp32,fp64,not_converged,10,70,198.734423667,3.22889822857e-08,1.39782427408e-08,1.00004612996,26116848
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp16,fp16,fp32,fp64,not_converged,10,49,139.297014667,3.30275042254e-08,1.84102653388e-08,1.02993293238,21834180
train_019_n1231_k3.26e+05.bin,train,1231,326255.828043,fp16,fp16,fp32,fp64,not_converged,10,158,235.837479667,3.30612412995e-08,1.16515725899e-08,1.00000125177,21347400
train_020_n1047_k4.18e+01.bin,train,1047,41.8212485998,fp16,fp16,fp32,fp64,not_converged,10,53,93.6444346667,3.14266139021e-08,2.22648044261e-08,1.00612504901,15459768
train_021_n1222_k3.40e+04.bin,train,1222,33986.2983302,fp16,fp16,fp32,fp64,not_converged,10,97,175.259090667,3.10540705594e-08,1.34088092405e-08,1.00000630063,21037368
train_022_n1180_k1.64e+02.bin,train,1180,163.915320188,fp16,fp16,fp32,fp64,not_converged,10,70,140.187822667,3.15650005569e-08,1.50781867288e-08,1.00190579682,19620540
train_023_n1355_k3.33e+04.bin,train,1355,33321.3296494,fp16,fp16,fp32,fp64,not_converged,10,111,236.821697667,3.0622546369e-08,1.52161803396e-08,1.00000658316,25849840
train_024_n1362_k1.30e+01.bin,train,1362,12.9590528983,fp16,fp16,fp32,fp64,not_converged,10,75,201.867237667,3.16314785836e-08,1.76327168735e-08,1.02561748,26116848
train_025_n1487_k6.94e+05.bin,train,1487,694282.361531,fp16,fp16,fp32,fp64,not_converged,10,223,433.348526667,3.31047313673e-08,1.56052590251e-08,1.00000029596,31115848
train_026_n1010_k2.42e+02.bin,train,1010,242.281963241,fp16,fp16,fp32,fp64,not_converged,10,43,81.051489,3.36324505304e-08,1.5373167817e-08,1.00125236538,14390320
train_027_n1427_k5.10e+04.bin,train,1427,50967.9683153,fp16,fp16,fp32,fp64,not_converged,10,184,351.594128,3.26442927895e-08,1.64491147493e-08,1.00001056732,28661728
train_028_n1296_k5.30e+00.bin,train,1296,5.29693048152,fp16,fp16,fp32,fp64,not_converged,10,72,175.114230333,3.2063130617e-08,2.22921594045e-08,1.07327356543,23653860
train_029_n1484_k2.59e+04.bin,train,1484,25901.2051887,fp16,fp16,fp32,fp64,not_converged,10,134,323.298931667,3.24214235653e-08,1.34473220165e-08,1.00001171509,30990748
train_030_n1039_k3.84e+01.bin,train,1039,38.3622147846,fp16,fp16,fp32,fp64,not_converged,10,73,105.58244,3.16805438963e-08,2.10421019475e-08,1.00572934488,15225288
train_031_n1209_k3.30e+03.bin,train,1209,3301.6017695,fp16,fp16,fp32,fp64,not_converged,10,70,148.279897333,3.26084092629e-08,1.8029853755e-08,1.00007018739,20593548
train_032_n1288_k7.83e+00.bin,train,1288,7.83398475063,fp16,fp16,fp32,fp64,not_converged,10,47,151.402342,3.17307105204e-08,1.70347480895e-08,1.04532351418,23363604
train_033_n1434_k7.00e+03.bin,train,1434,6997.04938809,fp16,fp16,fp32,fp64,not_converged,10,103,260.794470333,3.29513561523e-08,1.61009964529e-08,1.00004170684,28942848
train_034_n1117_k9.39e+00.bin,train,1117,9.38756137919,fp16,fp16,fp32,fp64,not_converged,10,49,106.135352333,3.18813150122e-08,2.00631560685e-08,1.01974573734,17587908
train_035_n1413_k1.58e+03.bin,train,1413,1580.00543338,fp16,fp16,fp32,fp64,not_converged,10,72,218.337662,3.17476231265e-08,1.32920828367e-08,1.0002223453,28103604
train_036_n1202_k6.41e+01.bin,train,1202,64.0767013639,fp16,fp16,fp32,fp64,not_converged,10,74,149.026201333,3.17447456316e-08,1.47396532791e-08,1.00422554006,20356528
train_037_n1488_k2.06e+05.bin,train,1488,206019.811301,fp16,fp16,fp32,fp64,not_converged,10,156,344.115606,3.13885780188e-08,9.89034924473e-09,1.00000119101,31157604
train_038_n1185_k7.12e+00.bin,train,1185,7.1223015396,fp16,fp16,fp32,fp64,not_converged,10,68,141.313162,3.27078866341e-08,1.31508800152e-08,1.04848634532,19786620
train_039_n1340_k3.31e+05.bin,train,1340,330780.404167,fp16,fp16,fp32,fp64,not_converged,10,216,337.728743667,3.07817777578e-08,1.19293034905e-08,1.00000084057,25282300
train_040_n1201_k7.06e+02.bin,train,1201,705.826691752,fp16,fp16,fp32,fp64,not_converged,10,36,115.382105667,3.30164277694e-08,1.43725882628e-08,1.00040777642,20322780
train_041_n1263_k1.83e+05.bin,train,1263,183402.147988,fp16,fp16,fp32,fp64,not_converged,10,156,245.78508,3.26997565041e-08,1.25830233899e-08,1.00000134389,22468104
train_042_n1468_k1.16e+02.bin,train,1468,115.944275286,fp16,fp16,fp32,fp64,not_converged,10,68,234.550448,3.25048380106e-08,1.67452875996e-08,1.00284135368,30327804
train_043_n1451_k4.77e+04.bin,train,1451,47747.2004189,fp16,fp16,fp32,fp64,not_converged,10,99,267.339323667,3.2665548955e-08,2.14962134219e-08,1.00000695642,29631280
train_044_n1084_k3.21e+02.bin,train,1084,321.394300582,fp16,fp16,fp32,fp64,not_converged,10,47,96.996359,3.11897075061e-08,1.47018133956e-08,1.00094572261,16567548
train_045_n1124_k3.72e+03.bin,train,1124,3717.06671101,fp16,fp16,fp32,fp64,not_converged,10,74,127.725797333,3.20919779276e-08,1.5422685005e-08,1.00005923196,17808268
train_046_n1238_k1.71e+02.bin,train,1238,171.332827268,fp16,fp16,fp32,fp64,not_converged,10,45,133.782974667,3.30079103124e-08,1.23924560742e-08,1.00106598834,21590104
train_047_n1355_k7.64e+04.bin,train,1355,76389.7564113,fp16,fp16,fp32,fp64,not_converged,10,130,258.255385667,3.16782876592e-08,1.26497757602e-08,1.00000323231,25849840
train_048_n1290_k3.27e+01.bin,train,1290,32.6990149373,fp16,fp16,fp32,fp64,not_converged,10,70,173.777079333,3.26989651554e-08,1.83696005748e-08,1.00730001457,23436000
train_049_n1307_k4.35e+04.bin,train,1307,43493.5724014,fp16,fp16,fp32,fp64,not_converged,10,97,206.323198333,3.29406077578e-08,1.94643568788e-08,1.00000445323,24055888
