file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp16,fp64,fp64,not_converged,10,70,432.732103667,1.72273219884e-08,4.47340812005e-09,1.0002924728,22558548
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp16,fp64,fp64,not_converged,10,273,724.498281333,2.85431187867e-08,4.75693757314e-09,1.00000024106,13735008
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp16,fp64,fp64,inner_fail,4,67,391.037743,1.69534101298e-08,3.64488908416e-09,1.42050664254,21578184
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp16,fp64,fp64,inner_fail,5,96,305.124278667,1.69116241476e-08,5.1082456129e-09,1.00000525085,13781924
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp16,fp64,fp64,inner_fail,4,66,186.275343333,1.73177440107e-08,4.81135859591e-09,1.00053258922,11171888
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp16,fp64,fp64,not_converged,10,245,1036.612662,1.70102725688e-08,5.28655526628e-09,1.0000013991,21373028
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp16,fp64,fp64,inner_fail,3,61,371.900717667,1.79413069276e-08,5.10784767477e-09,1.00367898194,21695856
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp16,fp64,fp64,inner_fail,5,92,265.791364667,1.71342590291e-08,4.46886953455e-09,1.00002706255,12431532
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp16,fp64,fp64,inner_fail,5,65,319.006412,1.7187020277e-08,5.0720136322e-09,1.00096185619,18250820
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp16,fp64,fp64,inner_fail,5,98,434.497972333,1.72919093397e-08,4.46518002861e-09,1.00003772779,18713016
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp16,fp64,fp64,inner_fail,4,64,178.732342,1.74922087764e-08,4.65175559719e-09,1.00239078379,10961508
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp16,fp64,fp64,inner_fail,6,123,492.610328,1.64897734636e-08,4.53577947336e-09,1.00000196352,17874528
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp16,fp64,fp64,inner_fail,3,48,190.360814,1.62570948433e-08,4.22687196027e-09,1.00028939825,13758456
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp16,fp16,fp64,fp64,inner_fail,5,94,484.444806333,1.73402772849e-08,5.31475305585e-09,1.00002635834,21285404
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp16,fp16,fp64,fp64,inner_fail,3,38,173.468197667,1.7260795942e-08,4.72378266343e-09,1.00663747003,14375124
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp16,fp16,fp64,fp64,inner_fail,7,127,345.580503667,1.68186179435e-08,5.46018361308e-09,1.00000325711,12678020
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp16,fp16,fp64,fp64,inner_fail,3,36,158.727,1.76243539542e-08,4.59918158876e-09,1.00191816279,13688172
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp16,fp16,fp64,fp64,inner_fail,6,100,439.576617667,1.67684059593e-08,3.7116500832e-09,1.00004612996,18713016
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp16,fp16,fp64,fp64,inner_fail,4,64,264.448437667,1.73637084778e-08,5.08556030997e-09,1.02993293238,15649020
train_019_n1231_k3.26e+05.bin,train,1231,326255.828043,fp16,fp16,fp64,fp64,inner_fail,7,182,569.059861,1.70950015827e-08,4.23870743483e-09,1.00000125177,15300728
train_020_n1047_k4.18e+01.bin,train,1047,41.8212485998,fp16,fp16,fp64,fp64,inner_fail,3,40,133.328705,1.72828868551e-08,4.42032326133e-09,1.00612504901,11087496
train_021_n1222_k3.40e+04.bin,train,1222,33986.2983302,fp16,fp16,fp64,fp64,not_converged,10,99,348.454237,1.64658054998e-08,5.05670885852e-09,1.00000630063,15078896
train_022_n1180_k1.64e+02.bin,train,1180,163.915320188,fp16,fp16,fp64,fp64,inner_fail,3,61,227.241356333,1.70078516874e-08,4.87114957755e-09,1.00190579682,14065100
train_023_n1355_k3.33e+04.bin,train,1355,33321.3296494,fp16,fp16,fp64,fp64,inner_fail,6,101,440.182873333,1.74614924952e-08,5.13909968648e-09,1.00000658316,18522000
train_024_n1362_k1.30e+01.bin,train,1362,12.9590528983,fp16,fp16,fp64,fp64,inner_fail,4,64,323.027704333,1.70568871658e-08,4.56818769441e-09,1.02561748,18713016
