step,file,target_cond,target_bucket,state_cond,state_bucket,bucket,state_idx,cond_bin,norm_bin,condition_log10,target_condition_log10,a_norm_log10,a_norm_inf,epsilon,action_index,selected_action,uf,ug,u,ur,reward,train_loss,accuracy_reward,precision_reward,iteration_penalty,speedup,memory_ratio,valid
1,train_000_n1496_k5.89e+02.bin,589.1606355259,1e2-1e3,629.2204579767,1e2-1e3,1e2-1e3,30,3,0,2.7988028344883658,2.77023372197067,0.0001270007519192098,1.0002924728,1.0,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,18.552963308252014,9.276481654126007,20.0,1.0529633082520147,5.0,1.0,1.0,1
2,train_001_n1166_k8.83e+05.bin,883352.8584935,1e5-1e6,897225.4101849,1e5-1e6,1e5-1e6,90,9,0,5.952901564673321,5.946134218736696,1.046910151724176e-07,1.00000024106,0.99,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,-5.541631546722763,2.7708157733613814,-5.0,1.1193325007209183,3.321928094887362,1.6791735405831134,0.991412107970943,0
3,train_002_n1463_k1.20e+00.bin,1.20373378229,1e0-1e1,2.292252280229,1e0-1e1,1e0-1e1,9,0,9,0.3602624134183653,0.0805304489928956,0.15244326890142054,1.42050664254,0.98,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,2.9051088744232456,1.4525544372116228,-5.0,10.969750382895729,6.129283016944966,1.9612806958885352,0.37373129408032585,0
4,train_003_n1168_k6.42e+04.bin,64242.18438621,1e4-1e5,66040.3591403,1e4-1e5,1e4-1e5,70,7,0,4.819809426374923,4.807820299561233,2.280409193227136e-06,1.00000525085,0.97,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,-5.9360433414175695,2.9680216707087848,-5.0,2.563956658582431,7.0,1.2612691303830814,0.37340834064406925,0
5,train_004_n1051_k5.34e+02.bin,533.8090573921,1e2-1e3,555.4169557965,1e2-1e3,1e2-1e3,30,3,0,2.744619133780198,2.7273859383949843,0.00023123898713578605,1.00053258922,0.96,1,fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,21.404914459192685,10.702457229596343,20.0,1.4049144591926859,0.0,1.883378148077409,0.7550556047222824,1
6,train_005_n1456_k2.26e+05.bin,226476.994003,1e5-1e6,230669.9427856,1e5-1e6,1e5-1e6,80,8,0,5.36299100790301,5.3550240920662775,6.076209846030389e-07,1.0000013991,0.95,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,18.12863518037852,9.06431759018926,20.0,0.6286351803785185,5.0,1.0,1.0,1
7,train_006_n1467_k7.95e+01.bin,79.52408458349,1e1-1e2,86.14487064651,1e1-1e2,1e1-1e2,20,2,0,1.9352294232090503,1.9004986785637188,0.0015948296762970367,1.00367898194,0.94,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,-4.009515873030268,2.004757936515134,-5.0,2.6514481744134133,3.321928094887362,1.7408630116923658,0.9931756602900705,0
8,train_007_n1109_k1.03e+04.bin,10291.97878604,1e4-1e5,10541.82785599,1e4-1e5,1e4-1e5,50,5,0,4.022915920074343,4.012498882365819,1.1752957099482937e-05,1.00002706255,0.9299999999999999,9,fp16_fp16_fp64_fp64,fp16,fp16,fp64,fp64,-5.79309541822394,2.89654770911197,-5.0,2.468685559804567,6.523561956057013,0.7233478355245846,0.6196372593058246,0
9,train_008_n1345_k2.65e+02.bin,265.0284519255,1e2-1e3,274.7512012859,1e2-1e3,1e2-1e3,30,3,0,2.4389395999515684,2.423292499789481,0.0004175280668984682,1.00096185619,0.92,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,-4.397880189919176,2.198940094959588,-5.0,2.263083857524505,3.321928094887362,1.6972612090940835,0.9925560557024109,0
10,train_009_n1362_k9.76e+03.bin,9759.800763568,1e3-1e4,10070.53705785,1e4-1e5,1e3-1e4,50,5,0,4.003052631928124,3.9894409520758938,1.63846619348528e-05,1.00003772779,0.91,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,-5.360723348881919,2.6803616744409595,-5.0,2.98252691470969,6.6865005271832185,1.6268034055810194,0.3736365727640112,0
