file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp32,fp64,fp64,fp64,ok,1,1,252.361537,4.1322384942e-14,2.89649086867e-15,1.0002924728,27372272
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp32,fp64,fp64,fp64,ok,1,1,118.843213,1.08282528648e-14,1.37142289198e-15,1.00000024106,16718552
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp32,fp64,fp64,fp64,ok,1,1,234.04062,4.8423176711e-13,9.16705991521e-13,1.42050664254,26189288
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp32,fp64,fp64,fp64,ok,1,1,116.761794667,1.3539041276e-14,8.04257099958e-16,1.00000525085,16775248
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp32,fp64,fp64,fp64,ok,1,1,87.431419,2.86794880826e-14,1.40031253001e-15,1.00053258922,13619992
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp32,fp64,fp64,fp64,ok,1,1,227.192803333,1.10016696962e-14,9.38184593738e-16,1.0000013991,25941712
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp32,fp64,fp64,fp64,ok,1,1,236.799100667,8.19223239321e-14,4.21556899747e-15,1.00367898194,26331288
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp32,fp64,fp64,fp64,ok,1,1,101.759891667,1.78862867308e-14,5.07197154473e-16,1.00002706255,15143072
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp32,fp64,fp64,fp64,ok,1,1,183.096791333,5.41538955453e-14,2.68305469854e-15,1.00096185619,22173040
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp32,fp64,fp64,fp64,ok,1,1,190.058724,1.24448070326e-14,4.92237086987e-16,1.00003772779,22731048
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp32,fp64,fp64,fp64,ok,1,1,85.158326,9.12754391383e-14,4.79170951152e-15,1.00239078379,13365552
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp32,fp64,fp64,fp64,ok,1,1,176.598871667,9.54082833348e-15,3.85450434131e-16,1.00000196352,21718712
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp32,fp64,fp64,fp64,ok,1,1,118.566708333,4.39368567186e-14,2.78404577251e-15,1.00028939825,16746888
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp32,fp64,fp64,fp64,ok,1,1,230.996136667,1.07311543297e-14,4.58656008049e-16,1.00002635834,25835968
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp32,fp64,fp64,fp64,ok,1,1,127.638187,1.05229664458e-13,1.25251226855e-14,1.00663747003,17492048
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp32,fp64,fp64,fp64,ok,1,1,103.269288,7.51862805657e-15,4.7987550784e-16,1.00000325711,15441040
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp32,fp64,fp64,fp64,ok,1,1,117.858209667,4.71725866091e-14,8.93573241015e-16,1.00191816279,16661952
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp32,fp64,fp64,fp64,ok,1,1,190.485006,1.58397634925e-14,2.96781529169e-16,1.00004612996,22731048
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp32,fp64,fp64,fp64,ok,1,1,145.180107667,2.58014780173e-13,1.47317247654e-13,1.02993293238,19031040
train_019_n1231_k3.26e+05.bin,train,1231,326255.828043,fp32,fp64,fp64,fp64,ok,1,1,139.722632,1.17718766894e-14,4.45071286377e-16,1.00000125177,18610312
train_020_n1047_k4.18e+01.bin,train,1047,41.8212485998,fp32,fp64,fp64,fp64,ok,1,1,86.0482976667,8.02376326071e-14,5.01602312116e-15,1.00612504901,13517928
train_021_n1222_k3.40e+04.bin,train,1222,33986.2983302,fp32,fp64,fp64,fp64,ok,1,1,137.057167667,1.08028280409e-14,7.09340007962e-16,1.00000630063,18342328
train_022_n1180_k1.64e+02.bin,train,1180,163.915320188,fp32,fp64,fp64,fp64,ok,1,1,123.183521,5.45442660519e-14,1.82266265556e-15,1.00190579682,17117440
train_023_n1355_k3.33e+04.bin,train,1355,33321.3296494,fp32,fp64,fp64,fp64,ok,1,1,186.974369,1.81665453924e-14,4.61915555212e-16,1.00000658316,22500440
train_024_n1362_k1.30e+01.bin,train,1362,12.9590528983,fp32,fp64,fp64,fp64,ok,1,1,190.670561667,2.1002208429e-13,4.1649548802e-14,1.02561748,22731048
train_025_n1487_k6.94e+05.bin,train,1487,694282.361531,fp32,fp64,fp64,fp64,ok,1,1,246.754956333,7.38332780867e-15,4.89503316288e-16,1.00000029596,27047048
train_026_n1010_k2.42e+02.bin,train,1010,242.281963241,fp32,fp64,fp64,fp64,ok,1,1,77.1781786667,6.77209990308e-14,1.12557843677e-15,1.00125236538,12592040
train_027_n1427_k5.10e+04.bin,train,1427,50967.9683153,fp32,fp64,fp64,fp64,ok,1,1,218.273993333,1.25378254451e-14,5.18962215015e-16,1.00001056732,24928568
train_028_n1296_k5.30e+00.bin,train,1296,5.29693048152,fp32,fp64,fp64,fp64,ok,1,1,161.845801333,2.22277778954e-13,1.19853040841e-13,1.07327356543,20603472
train_029_n1484_k2.59e+04.bin,train,1484,25901.2051887,fp32,fp64,fp64,fp64,ok,1,1,245.605590667,1.16358275455e-14,6.62637081089e-16,1.00001171509,26939072
train_030_n1039_k3.84e+01.bin,train,1039,38.3622147846,fp32,fp64,fp64,fp64,ok,1,1,84.9853776667,1.04239759259e-13,8.71419930531e-15,1.00572934488,13314952
train_031_n1209_k3.30e+03.bin,train,1209,3301.6017695,fp32,fp64,fp64,fp64,ok,1,1,132.535001,1.93109161368e-14,7.27234639038e-16,1.00007018739,17958672
train_032_n1288_k7.83e+00.bin,train,1288,7.83398475063,fp32,fp64,fp64,fp64,ok,1,1,159.935593,3.6669290795e-13,1.26972646249e-13,1.04532351418,20352688
train_033_n1434_k7.00e+03.bin,train,1434,6997.04938809,fp32,fp64,fp64,fp64,ok,1,1,222.644577667,1.55637700173e-14,1.39281827133e-15,1.00004170684,25171272
train_034_n1117_k9.39e+00.bin,train,1117,9.38756137919,fp32,fp64,fp64,fp64,ok,1,1,103.326263667,2.00496549107e-13,6.21764709271e-14,1.01974573734,15359488
train_035_n1413_k1.58e+03.bin,train,1413,1580.00543338,fp32,fp64,fp64,fp64,ok,1,1,211.734539,3.68213221958e-14,3.24663996901e-16,1.0002223453,24446688
train_036_n1202_k6.41e+01.bin,train,1202,64.0767013639,fp32,fp64,fp64,fp64,ok,1,1,130.279016667,9.88543200495e-14,7.81597873526e-15,1.00422554006,17753768
train_037_n1488_k2.06e+05.bin,train,1488,206019.811301,fp32,fp64,fp64,fp64,ok,1,1,245.494449,8.83513944499e-15,4.2066048767e-16,1.00000119101,27083088
train_038_n1185_k7.12e+00.bin,train,1185,7.1223015396,fp32,fp64,fp64,fp64,ok,1,1,124.623392,1.96033824217e-13,6.73071022175e-14,1.04848634532,17261040
train_039_n1340_k3.31e+05.bin,train,1340,330780.404167,fp32,fp64,fp64,fp64,ok,1,1,182.822579333,1.52565265318e-14,1.30618388191e-15,1.00000084057,22010240
