Condition Range,Num Matrices,Success Rate,bf16,tf32,fp32,fp64
10^0 to 10^1,3,1.0,0.3333333333333333,0.0,0.0,3.6666666666666665
10^1 to 10^2,21,1.0,0.19047619047619047,0.09523809523809523,0.5238095238095238,3.1904761904761907
10^2 to 10^3,13,0.9230769230769231,0.15384615384615385,0.07692307692307693,0.6153846153846154,3.1538461538461537
10^3 to 10^4,7,1.0,0.14285714285714285,0.0,1.1428571428571428,2.7142857142857144
10^4 to 10^5,13,0.8461538461538461,0.0,0.23076923076923078,0.38461538461538464,3.3846153846153846
10^5 to 10^6,15,1.0,0.0,0.06666666666666667,0.8666666666666667,3.066666666666667
10^6 to 10^7,9,1.0,0.0,0.0,0.7777777777777778,3.2222222222222223
10^7 to 10^8,9,1.0,0.0,0.0,0.2222222222222222,3.7777777777777777
10^8 to 10^9,10,1.0,0.0,0.0,0.3,3.7
