file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp16,fp32,fp32,not_converged,10,74,242.311499667,1.91574175766e-07,1.40751333239e-07,1.0002924728,13576564
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp16,fp32,fp32,not_converged,10,300,319.129638333,2.37546130554e-07,2.20296620454e-08,1.00000024106,8273464
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp16,fp32,fp32,not_converged,10,70,232.307816667,2.07775830087e-07,2.01146567869e-07,1.42050664254,12987448
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp16,fp32,fp32,not_converged,10,128,175.961322333,1.7587966429e-07,3.29683177591e-08,1.00000525085,8301668
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp16,fp32,fp32,not_converged,10,70,103.576771333,1.89830618562e-07,1.57888493629e-07,1.00053258922,6732464
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp16,fp32,fp32,not_converged,10,134,297.196888667,1.84700600284e-07,2.40967218073e-08,1.0000013991,12864164
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp16,fp32,fp32,not_converged,10,70,230.070956667,2.2683148918e-07,3.24875058853e-07,1.00367898194,13058160
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp16,fp32,fp32,not_converged,10,97,137.887587667,1.7621778775e-07,5.74078665112e-08,1.00002706255,7489828
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp16,fp32,fp32,not_converged,10,70,184.786077667,1.81305210701e-07,1.19578287455e-07,1.00096185619,10987820
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp16,fp32,fp32,not_converged,10,103,224.410048,1.89398818124e-07,4.61454054637e-08,1.00003772779,11265600
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp16,fp32,fp32,not_converged,10,70,102.038557333,1.5207777011e-07,1.2673081309e-07,1.00239078379,6605964
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp16,fp32,fp32,not_converged,10,135,244.294718,1.79945409822e-07,3.27022140074e-08,1.00000196352,10761664
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp16,fp32,fp32,not_converged,10,70,132.414725667,2.05977557049e-07,2.76471558272e-07,1.00028939825,8287560
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp16,fp16,fp32,fp32,not_converged,10,99,260.579541,2.02704679535e-07,5.45230876825e-08,1.00002635834,12811508
