file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp32,fp64,fp64,ok,1,2,159.625353333,1.81103355549e-10,2.11133670406e-10,1.0002924728,22671112
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp32,fp64,fp64,ok,1,3,82.0064483333,6.135241081e-09,1.59353697555e-10,1.00000024106,13823152
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp32,fp64,fp64,ok,1,2,151.815471,1.11343477018e-10,1.38159282169e-10,1.42050664254,21688306
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp32,fp64,fp64,ok,1,2,79.0467056667,8.29611713049e-09,9.59736082629e-11,1.00000525085,13870216
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp32,fp64,fp64,ok,1,2,61.7479643333,1.18343531511e-10,1.56486366724e-10,1.00053258922,11251522
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp32,fp64,fp64,ok,2,4,154.051201333,1.58763389242e-13,7.03638445303e-15,1.0000013991,21482632
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp32,fp64,fp64,ok,1,2,152.231778,2.55799783572e-10,1.75562367043e-10,1.00367898194,21806274
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp32,fp64,fp64,ok,1,2,69.3165206667,2.69022117575e-09,2.01644031791e-11,1.00002706255,12515458
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp32,fp64,fp64,ok,1,2,121.875722667,1.46878406212e-10,1.51524214501e-10,1.00096185619,18352210
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp32,fp64,fp64,ok,1,2,121.71623,3.03996630506e-09,7.56998163335e-11,1.00003772779,18815664
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp32,fp64,fp64,ok,1,2,57.7758146667,1.71723682661e-10,8.55773258555e-11,1.00239078379,11040402
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp32,fp64,fp64,ok,2,4,123.316053667,1.93894048616e-13,1.69598191018e-15,1.00000196352,17974882
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp32,fp64,fp64,ok,1,2,79.7644326667,1.8768019333e-10,1.25532981832e-10,1.00028939825,13846674
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp16,fp32,fp64,fp64,ok,1,2,148.310106667,6.35141171124e-09,7.90971466073e-11,1.00002635834,21394786
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp16,fp32,fp64,fp64,ok,1,2,84.778201,1.5349498681e-10,1.4783402188e-10,1.00663747003,14465266
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp16,fp32,fp64,fp64,ok,1,2,72.4741836667,7.85841542868e-09,2.92468263061e-10,1.00000325711,12762760
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp16,fp32,fp64,fp64,ok,1,2,78.5799056667,1.46974415039e-10,9.9455185749e-11,1.00191816279,13776168
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp16,fp32,fp64,fp64,ok,1,2,122.102965667,1.39438268844e-09,6.03660159213e-11,1.00004612996,18815664
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp16,fp32,fp64,fp64,ok,1,2,97.7630486667,1.60017664519e-10,1.31560717521e-10,1.02993293238,15743010
train_019_n1231_k3.26e+05.bin,train,1231,326255.828043,fp16,fp32,fp64,fp64,ok,2,4,99.7417223333,8.14301436067e-13,4.91061985969e-14,1.00000125177,15393682
train_020_n1047_k4.18e+01.bin,train,1047,41.8212485998,fp16,fp32,fp64,fp64,ok,1,2,58.644023,1.22679966932e-10,7.75194982231e-11,1.00612504901,11166834
