file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp32,fp32,fp32,fp64,not_converged,10,10,282.800327667,2.59879902554e-08,1.48250252181e-08,1.0002924728,36081256
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp32,fp32,fp32,fp64,not_converged,10,10,134.206775667,2.45447312577e-08,9.30818172897e-09,1.00000024106,21966496
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp32,fp32,fp32,fp64,not_converged,10,10,261.632917667,2.51786559089e-08,1.36080594808e-08,1.42050664254,34512964
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp32,fp32,fp32,fp64,not_converged,10,10,131.76214,2.50700845395e-08,1.0250792256e-08,1.00000525085,22041544
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp32,fp32,fp32,fp64,not_converged,10,10,98.9784896667,2.54244849612e-08,1.86367348959e-08,1.00053258922,17866516
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp32,fp32,fp32,fp64,not_converged,10,10,254.934469,2.61493451486e-08,1.22747644298e-08,1.0000013991,34184776
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp32,fp32,fp32,fp64,not_converged,10,10,264.327141333,2.54998630499e-08,1.49827021069e-08,1.00367898194,34701204
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp32,fp32,fp32,fp64,not_converged,10,10,115.38029,2.70491002868e-08,1.77267300326e-08,1.00002706255,19881436
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp32,fp32,fp32,fp64,not_converged,10,10,205.554696667,2.44807237382e-08,1.08026082632e-08,1.00096185619,29190220
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp32,fp32,fp32,fp64,not_converged,10,10,212.613836,2.52801181582e-08,1.62809468219e-08,1.00003772779,29929584
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp32,fp32,fp32,fp64,not_converged,10,10,96.464738,2.46740151712e-08,8.01652009132e-09,1.00239078379,17529996
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp32,fp32,fp32,fp64,not_converged,10,10,197.627823,2.44899768694e-08,1.35026292271e-08,1.00000196352,28588276
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp32,fp32,fp32,fp64,not_converged,10,10,133.688237333,2.61901084291e-08,1.73341405733e-08,1.00028939825,22004004
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp32,fp32,fp32,fp64,not_converged,10,10,256.088876,2.65228661231e-08,1.16878784311e-08,1.00002635834,34044604
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp32,fp32,fp32,fp64,not_converged,10,10,143.863818667,2.48913805928e-08,1.34969522137e-08,1.00663747003,22990444
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp32,fp32,fp32,fp64,not_converged,10,10,116.781623667,2.57805148997e-08,8.54461579204e-09,1.00000325711,20275720
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp32,fp32,fp32,fp64,not_converged,10,10,132.674491333,2.52077667336e-08,1.03150406464e-08,1.00191816279,21891576
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp32,fp32,fp32,fp64,not_converged,10,10,212.368551667,2.56856314149e-08,1.00766882663e-08,1.00004612996,29929584
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp32,fp32,fp32,fp64,not_converged,10,10,162.222185,2.62009196231e-08,1.67123139404e-08,1.02993293238,25028220
train_019_n1231_k3.26e+05.bin,train,1231,326255.828043,fp32,fp32,fp32,fp64,not_converged,10,10,156.908210667,2.62820775259e-08,1.11848612338e-08,1.00000125177,24471076
train_020_n1047_k4.18e+01.bin,train,1047,41.8212485998,fp32,fp32,fp32,fp64,not_converged,10,10,97.5587436667,2.48785583928e-08,1.66136194896e-08,1.00612504901,17731524
train_021_n1222_k3.40e+04.bin,train,1222,33986.2983302,fp32,fp32,fp32,fp64,not_converged,10,10,153.257039333,2.50442551207e-08,1.08161897177e-08,1.00000630063,24116224
train_022_n1180_k1.64e+02.bin,train,1180,163.915320188,fp32,fp32,fp32,fp64,not_converged,10,10,138.158858333,2.41485888564e-08,1.31240247567e-08,1.00190579682,22494520
train_023_n1355_k3.33e+04.bin,train,1355,33321.3296494,fp32,fp32,fp32,fp64,not_converged,10,10,207.858690667,2.39196355733e-08,1.07213623325e-08,1.00000658316,29624020
train_024_n1362_k1.30e+01.bin,train,1362,12.9590528983,fp32,fp32,fp32,fp64,not_converged,10,10,211.343989,2.53445848032e-08,1.56705887781e-08,1.02561748,29929584
train_025_n1487_k6.94e+05.bin,train,1487,694282.361531,fp32,fp32,fp32,fp64,not_converged,10,10,273.091198333,2.70523938274e-08,1.56052591757e-08,1.00000029596,35650084
train_026_n1010_k2.42e+02.bin,train,1010,242.281963241,fp32,fp32,fp32,fp64,not_converged,10,10,87.3635606667,2.63040153556e-08,1.38218265735e-08,1.00125236538,16507120
train_027_n1427_k5.10e+04.bin,train,1427,50967.9683153,fp32,fp32,fp32,fp64,not_converged,10,10,242.569043667,2.59269572761e-08,1.31423621651e-08,1.00001056732,32841844
train_028_n1296_k5.30e+00.bin,train,1296,5.29693048152,fp32,fp32,fp32,fp64,not_converged,10,10,180.842078667,2.56418962997e-08,1.65330283891e-08,1.07327356543,27110856
train_029_n1484_k2.59e+04.bin,train,1484,25901.2051887,fp32,fp32,fp32,fp64,not_converged,10,10,272.087879667,2.61838955206e-08,1.34473260752e-08,1.00001171509,35506936
train_030_n1039_k3.84e+01.bin,train,1039,38.3622147846,fp32,fp32,fp32,fp64,not_converged,10,10,95.6803693333,2.51974044865e-08,2.09146725042e-08,1.00572934488,17463076
train_031_n1209_k3.30e+03.bin,train,1209,3301.6017695,fp32,fp32,fp32,fp64,not_converged,10,10,149.343456667,2.55035345851e-08,1.56568529047e-08,1.00007018739,23608236
train_032_n1288_k7.83e+00.bin,train,1288,7.83398475063,fp32,fp32,fp32,fp64,not_converged,10,10,178.385246,2.46877857532e-08,1.70392363494e-08,1.04532351418,26778664
train_033_n1434_k7.00e+03.bin,train,1434,6997.04938809,fp32,fp32,fp32,fp64,not_converged,10,10,246.590561,2.57431463233e-08,9.88222333386e-09,1.00004170684,33163536
train_034_n1117_k9.39e+00.bin,train,1117,9.38756137919,fp32,fp32,fp32,fp64,not_converged,10,10,117.302136,2.5299696812e-08,2.00676773832e-08,1.01974573734,20167804
train_035_n1413_k1.58e+03.bin,train,1413,1580.00543338,fp32,fp32,fp32,fp64,not_converged,10,10,235.579662,2.50189786983e-08,1.32920469938e-08,1.0002223453,32203164
train_036_n1202_k6.41e+01.bin,train,1202,64.0767013639,fp32,fp32,fp32,fp64,not_converged,10,10,145.821084667,2.54424831479e-08,1.47209950624e-08,1.00422554006,23336944
train_037_n1488_k2.06e+05.bin,train,1488,206019.811301,fp32,fp32,fp32,fp64,not_converged,10,10,272.634033,2.47343061707e-08,7.67287101497e-09,1.00000119101,35697864
train_038_n1185_k7.12e+00.bin,train,1185,7.1223015396,fp32,fp32,fp32,fp64,not_converged,10,10,140.668769667,2.49736072248e-08,1.19601907206e-08,1.04848634532,22684620
train_039_n1340_k3.31e+05.bin,train,1340,330780.404167,fp32,fp32,fp32,fp64,not_converged,10,10,201.358922333,2.42413294911e-08,9.68007785612e-09,1.00000084057,28974520
train_040_n1201_k7.06e+02.bin,train,1201,705.826691752,fp32,fp32,fp32,fp64,not_converged,10,10,145.829258,2.5681424374e-08,9.14308103923e-09,1.00040777642,23298316
train_041_n1263_k1.83e+05.bin,train,1263,183402.147988,fp32,fp32,fp32,fp64,not_converged,10,10,169.422781333,2.49641315918e-08,9.02266477512e-09,1.00000134389,25753764
train_042_n1468_k1.16e+02.bin,train,1468,115.944275286,fp32,fp32,fp32,fp64,not_converged,10,10,262.710039667,2.57458508186e-08,1.37491989993e-08,1.00284135368,34748344
train_043_n1451_k4.77e+04.bin,train,1451,47747.2004189,fp32,fp32,fp32,fp64,not_converged,10,10,254.279479333,2.58927218381e-08,1.37322446375e-08,1.00000695642,33951316
train_044_n1084_k3.21e+02.bin,train,1084,321.394300582,fp32,fp32,fp32,fp64,not_converged,10,10,106.867148333,2.49984000817e-08,1.45581025198e-08,1.00094572261,18999736
train_045_n1124_k3.72e+03.bin,train,1124,3717.06671101,fp32,fp32,fp32,fp64,not_converged,10,10,119.192348333,2.54843646336e-08,1.02793788047e-08,1.00005923196,20420056
train_046_n1238_k1.71e+02.bin,train,1238,171.332827268,fp32,fp32,fp32,fp64,not_converged,10,10,159.255534,2.63794619272e-08,1.23925398133e-08,1.00106598834,24748864
train_047_n1355_k7.64e+04.bin,train,1355,76389.7564113,fp32,fp32,fp32,fp64,not_converged,10,10,207.984989,2.48828436142e-08,9.63600319353e-09,1.00000323231,29624020
train_048_n1290_k3.27e+01.bin,train,1290,32.6990149373,fp32,fp32,fp32,fp64,not_converged,10,10,180.120822667,2.60089613603e-08,1.83709922136e-08,1.00730001457,26861520
train_049_n1307_k4.35e+04.bin,train,1307,43493.5724014,fp32,fp32,fp32,fp64,not_converged,10,10,186.501982667,2.65276503952e-08,1.94643568788e-08,1.00000445323,27570964
