Condition Range,Num Matrices,Success Rate,Avg RL Error,Avg RL NBE,Avg RL Rho,Avg RL CBE,Avg RL Iterations,Avg RL GMRES Iterations,Avg fp64 Error,Avg fp64 NBE,Avg fp64 Rho,Avg fp64 CBE,Avg fp64 Iterations,Avg fp64 GMRES Iterations,bf16,tf32,fp32,fp64
10^0 to 10^3 (Low),37,1.0,3.369044298816107e-07,2.203236714829956e-08,2.17228406452327e-07,1.9596738344741767e-13,2.4594594594594597,12.08108108108108,1.1991872828376775e-14,7.957456301264341e-17,8.202715619174197e-16,2.428980774156009e-13,2.0,2.0,0.24324324324324326,0.4864864864864865,0.3783783783783784,2.891891891891892
10^3 to 10^6 (Medium),35,1.0,4.2180739154486083e-07,4.966584987704543e-11,5.16086893910555e-10,2.31813816846978e-14,2.5428571428571427,5.942857142857143,1.460504442793216e-11,8.125246819768818e-17,7.932688356943167e-16,1.048914299079685e-13,2.0,2.0,0.02857142857142857,0.11428571428571428,0.7428571428571429,3.1142857142857143
10^6 to 10^9 (High),28,1.0,1.9436414956414147e-09,1.6278448486442207e-14,1.7091181584043894e-13,3.685134676912152e-13,2.3214285714285716,3.25,1.9190892894474795e-09,8.088449530119201e-17,8.094918105415663e-16,5.018185650626752e-13,2.0,2.0,0.0,0.0,0.42857142857142855,3.5714285714285716
