Condition Range,Num Matrices,Success Rate,bf16,tf32,fp32,fp64
10^0 to 10^1,3,1.0,0.3333333333333333,0.0,0.0,3.6666666666666665
10^1 to 10^2,21,0.8095238095238095,0.2857142857142857,0.7619047619047619,0.38095238095238093,2.5714285714285716
10^2 to 10^3,13,1.0,0.15384615384615385,0.15384615384615385,0.46153846153846156,3.230769230769231
10^3 to 10^4,7,1.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,3.142857142857143
10^4 to 10^5,13,1.0,0.0,0.23076923076923078,0.38461538461538464,3.3846153846153846
10^5 to 10^6,15,0.9333333333333333,0.0,0.0,0.4666666666666667,3.533333333333333
10^6 to 10^7,9,0.6666666666666666,0.0,0.0,0.7777777777777778,3.2222222222222223
10^7 to 10^8,9,1.0,0.0,0.0,0.2222222222222222,3.7777777777777777
10^8 to 10^9,10,0.9,0.0,0.0,0.3,3.7
