Condition Range,Num Matrices,Success Rate,Avg RL Error,Avg RL NBE,Avg RL Rho,Avg RL CBE,Avg RL Iterations,Avg RL GMRES Iterations,Avg fp64 Error,Avg fp64 NBE,Avg fp64 Rho,Avg fp64 CBE,Avg fp64 Iterations,Avg fp64 GMRES Iterations,bf16,tf32,fp32,fp64
10^0 to 10^3 (Low),37,0.8918918918918919,2.4923622618880724e-07,2.6087175426053453e-08,2.3835173768981309e-07,1.9596738344741767e-13,2.27027027027027,21.027027027027028,1.1991872828376775e-14,7.957456301264341e-17,8.202715619174197e-16,2.428980774156009e-13,2.0,2.0,0.24324324324324326,0.4864864864864865,0.3783783783783784,2.891891891891892
10^3 to 10^6 (Medium),35,1.0,3.489252928081179e-06,6.483872149040147e-11,8.720986792242597e-10,2.4114647946972177e-14,2.342857142857143,12.514285714285714,1.460504442793216e-11,8.125246819768818e-17,7.932688356943167e-16,1.048914299079685e-13,2.0,2.0,0.02857142857142857,0.17142857142857143,0.4,3.4
10^6 to 10^9 (High),28,1.0,3.911385637616653e-06,4.275300524346679e-11,6.416043780440375e-10,3.6702203823317656e-13,2.1785714285714284,4.285714285714286,1.9190892944692847e-09,8.137702965374689e-17,8.084873817430391e-16,4.977355538176528e-13,2.0,2.9285714285714284,0.0,0.0,0.42857142857142855,3.5714285714285716
