file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp16,fp64,fp64,ok,2,60,400.877950667,8.96112805876e-08,2.81875045204e-08,1.0002924728,22558548
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp16,fp64,fp64,ok,6,180,510.509572667,5.08061961951e-07,1.97736210829e-08,1.00000024106,13735008
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp16,fp64,fp64,ok,1,30,262.669041333,6.63398584044e-07,6.3081623953e-07,1.42050664254,21578184
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp16,fp64,fp64,ok,3,90,292.021207667,6.96182942504e-08,1.48084582275e-08,1.00000525085,13781924
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp16,fp64,fp64,ok,2,60,174.206336667,7.44098128206e-08,2.98596365988e-08,1.00053258922,11171888
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp16,fp64,fp64,ok,4,120,603.344252,4.00072430684e-07,1.66373168619e-08,1.0000013991,21373028
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp16,fp64,fp64,ok,1,30,264.543987,6.09757762773e-07,9.39118433252e-07,1.00367898194,21695856
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp16,fp64,fp64,ok,2,60,196.850966,4.04677569049e-07,2.99187585825e-08,1.00002706255,12431532
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp16,fp64,fp64,ok,1,30,212.47421,5.49925599596e-07,4.38155919715e-07,1.00096185619,18250820
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp16,fp64,fp64,ok,2,60,319.605914,1.27398900316e-07,2.56187105689e-08,1.00003772779,18713016
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp16,fp64,fp64,ok,2,60,171.316719667,6.89674331433e-08,2.4359049027e-08,1.00239078379,10961508
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp16,fp64,fp64,ok,4,120,494.683061667,1.62793172503e-07,4.53577812428e-09,1.00000196352,17874528
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp16,fp64,fp64,ok,2,47,188.882756333,7.71936041032e-08,3.15073819426e-08,1.00028939825,13758456
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp16,fp16,fp64,fp64,ok,2,60,372.055931333,4.28928073427e-07,3.3239097835e-08,1.00002635834,21285404
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp16,fp16,fp64,fp64,ok,1,30,157.226432667,5.77104244297e-07,2.96613949075e-07,1.00663747003,14375124
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp16,fp16,fp64,fp64,ok,3,90,266.610096667,2.46320358156e-07,1.61165632172e-08,1.00000325711,12678020
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp16,fp16,fp64,fp64,ok,1,30,146.826852667,5.41156498889e-07,2.91023434202e-07,1.00191816279,13688172
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp16,fp16,fp64,fp64,ok,2,60,318.945693333,1.09007274246e-07,2.52916763155e-08,1.00004612996,18713016
