action,uf,ug,u,ur,train_updates,train_valid,mean_train_reward
fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,32,32,18.375852702469928
fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,11,11,13.793597707262068
fp32_fp32_fp64_fp64,fp32,fp32,fp64,fp64,4,4,13.902156574393196
fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,7,7,14.311553010172686
fp32_fp32_fp32_fp32,fp32,fp32,fp32,fp32,2,2,14.21574992777324
fp16_fp64_fp64_fp64,fp16,fp64,fp64,fp64,15,15,22.419029272461795
fp16_fp32_fp64_fp64,fp16,fp32,fp64,fp64,4,4,24.106328958536587
fp16_fp32_fp32_fp64,fp16,fp32,fp32,fp64,3,3,18.406562791576068
fp16_fp32_fp32_fp32,fp16,fp32,fp32,fp32,3,3,16.12278316602698
fp16_fp16_fp64_fp64,fp16,fp16,fp64,fp64,2,2,13.573778470659834
fp16_fp16_fp32_fp64,fp16,fp16,fp32,fp64,4,4,15.331238239755397
fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,6,6,15.908501387009295
fp16_fp16_fp16_fp64,fp16,fp16,fp16,fp64,3,0,-2.036925523247769
fp16_fp16_fp16_fp32,fp16,fp16,fp16,fp32,1,0,-6.507252905568634
fp16_fp16_fp16_fp16,fp16,fp16,fp16,fp16,3,0,-2.1571743473267326
