file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp32,fp32,fp32,fp32,not_converged,10,10,271.669083,1.89902902751e-07,1.40751570138e-07,1.0002924728,18165160
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp32,fp32,fp32,fp32,not_converged,10,10,129.020263667,1.62328037362e-07,1.36849250004e-08,1.00000024106,11080720
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp32,fp32,fp32,fp32,not_converged,10,10,251.735453,2.07924873131e-07,2.01147592825e-07,1.42050664254,17378308
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp32,fp32,fp32,fp32,not_converged,10,10,127.199679,1.74237243879e-07,2.80749947461e-08,1.00000525085,11118408
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp32,fp32,fp32,fp32,not_converged,10,10,95.1271836667,1.8594001386e-07,1.5788852493e-07,1.00053258922,9021300
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp32,fp32,fp32,fp32,not_converged,10,10,244.764376,1.83534705711e-07,2.40967218073e-08,1.0000013991,17213640
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp32,fp32,fp32,fp32,not_converged,10,10,256.18305,2.23765428705e-07,3.24875073311e-07,1.00367898194,17472756
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp32,fp32,fp32,fp32,not_converged,10,10,111.584710333,1.76959188301e-07,5.66161292066e-08,1.00002706255,10033516
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp32,fp32,fp32,fp32,not_converged,10,10,198.103245,1.79132899779e-07,1.19578633967e-07,1.00096185619,14707260
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp32,fp32,fp32,fp32,not_converged,10,10,205.833705667,1.89869271564e-07,4.61454125064e-08,1.00003772779,15078336
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp32,fp32,fp32,fp32,not_converged,10,10,92.894413,1.48914437182e-07,1.26730972771e-07,1.00239078379,8852220
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp32,fp32,fp32,fp32,not_converged,10,10,190.837269,1.78634091664e-07,3.27022147398e-08,1.00000196352,14405140
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp32,fp32,fp32,fp32,not_converged,10,10,131.152039333,2.01584755718e-07,2.76471463137e-07,1.00028939825,11099556
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp32,fp32,fp32,fp32,not_converged,10,10,249.119851,2.00581360867e-07,5.4523076652e-08,1.00002635834,17143308
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp32,fp32,fp32,fp32,not_converged,10,10,138.5849,1.93908166458e-07,1.59119354152e-07,1.00663747003,11594908
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp32,fp32,fp32,fp32,not_converged,10,10,112.558260667,1.58960857382e-07,4.31142840747e-08,1.00000325711,10231560
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp32,fp32,fp32,fp32,not_converged,10,10,128.596275333,1.9541283516e-07,1.2703760725e-07,1.00191816279,11043096
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp32,fp32,fp32,fp32,not_converged,10,10,206.492107667,1.80436390878e-07,3.39590123864e-08,1.00004612996,15078336
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp32,fp32,fp32,fp32,not_converged,10,10,156.754802333,2.0599845147e-07,1.43561073399e-07,1.02993293238,12618060
train_019_n1231_k3.26e+05.bin,train,1231,326255.828043,fp32,fp32,fp32,fp32,not_converged,10,10,152.290062333,1.98394978234e-07,2.86506264284e-08,1.00000125177,12338340
train_020_n1047_k4.18e+01.bin,train,1047,41.8212485998,fp32,fp32,fp32,fp32,not_converged,10,10,93.850404,1.71425412455e-07,1.06193267609e-07,1.00612504901,8953476
