action,uf,ug,u,ur,train_updates,train_valid,mean_train_reward
fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,24,24,17.585473235293836
fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,21,21,20.13605004742397
fp32_fp32_fp64_fp64,fp32,fp32,fp64,fp64,4,4,20.110828050646703
fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,6,0,-6.460561158829492
fp32_fp32_fp32_fp32,fp32,fp32,fp32,fp32,2,0,-6.480604281981859
fp16_fp64_fp64_fp64,fp16,fp64,fp64,fp64,15,15,19.71288084177827
fp16_fp32_fp64_fp64,fp16,fp32,fp64,fp64,4,4,19.71408995006681
fp16_fp32_fp32_fp64,fp16,fp32,fp32,fp64,3,0,-6.822490533358867
fp16_fp32_fp32_fp32,fp16,fp32,fp32,fp32,3,0,-6.8806657028803
fp16_fp16_fp64_fp64,fp16,fp16,fp64,fp64,2,0,-8.036370181429872
fp16_fp16_fp32_fp64,fp16,fp16,fp32,fp64,4,0,-7.8939022744748
fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,5,0,-8.008602455613756
fp16_fp16_fp16_fp64,fp16,fp16,fp16,fp64,3,0,-8.099384212468948
fp16_fp16_fp16_fp32,fp16,fp16,fp16,fp32,1,0,-8.85369370128001
fp16_fp16_fp16_fp16,fp16,fp16,fp16,fp16,3,0,-7.953391079017031
