Condition Range,Num Matrices,Success Rate,Avg RL Error,Avg RL NBE,Avg RL Rho,Avg RL CBE,Avg RL Iterations,Avg RL GMRES Iterations,Avg fp64 Error,Avg fp64 NBE,Avg fp64 Rho,Avg fp64 CBE,Avg fp64 Iterations,Avg fp64 GMRES Iterations,bf16,tf32,fp32,fp64
10^0 to 10^3 (Low),37,1.0,1.3369604605733429e-11,1.6227549803772178e-12,1.0956652570933515e-11,1.9596738344741767e-13,2.3783783783783785,15.972972972972974,1.1991872828376775e-14,7.957456301264341e-17,8.202715619174197e-16,2.428980774156009e-13,2.0,2.0,0.13513513513513514,0.08108108108108109,0.5675675675675675,3.2162162162162162
10^3 to 10^6 (Medium),35,1.0,3.489240894106244e-06,6.437693099855589e-11,8.650878144805057e-10,3.1414443425197906e-14,2.3142857142857145,12.371428571428572,1.460504442793216e-11,8.125246819768818e-17,7.932688356943167e-16,1.048914299079685e-13,2.0,2.0,0.02857142857142857,0.17142857142857143,0.3142857142857143,3.4857142857142858
10^6 to 10^9 (High),28,1.0,3.9117113253555875e-06,4.2753003653959476e-11,6.416043735565586e-10,3.8345408747701356e-13,2.107142857142857,3.5714285714285716,1.9190892944692847e-09,8.137702965374689e-17,8.084873817430391e-16,4.977355538176528e-13,2.0,2.9285714285714284,0.0,0.0,0.32142857142857145,3.6785714285714284
